"cell","order","dendriteLength","denditeSurfaceArea","dendriteVolume","spines","thin","stubby","mushroom","filopodia"
"G5 C1",1,0.6,2.2992,0.697716,0,0,0,0,0
"G5 C1",2,76.3,302.383,104.188,0,0,0,0,0
"G5 C1",3,30.2,149.034,72.9969,0,0,0,0,0
"G5 C1",4,164.5,673.117,237.01,9.54407294832827,1.39817629179331,7.0516717325228,1.09422492401216,0
"G5 C1",5,62.2,393.925,213.897,0,0,0,0,0
"G5 C1",6,505,2044.08,719.654,9.86138613861386,1.56435643564356,7.16831683168317,1.04950495049505,0.0792079207920792
"G5 C1",7,355.4,1503.78,557.204,9.36972425436128,1.63196398424311,6.47158131682611,1.20990433314575,0.056274620146314
"G5 C1",8,341.8,1338.31,467.7,8.98186073727326,1.63838502047981,6.72908133411352,0.61439438267993,0
"G5 C1",9,405.2,1589.41,551.59,11.599210266535,2.44323790720632,7.65054294175716,1.43139190523198,0.0740375123395854
"G5 C1",10,104,546.02,248.473,9.13461538461539,2.11538461538462,6.53846153846154,0.480769230769231,0
"G5 C1",11,218.4,984.314,369.528,10.9432234432234,1.51098901098901,7.96703296703297,1.46520146520147,0
"G5 C1",12,410.8,1693.41,613.071,11.587147030185,1.80136319376826,8.59298928919182,1.14410905550146,0.0486854917234664
"G5 C1",13,193.1,909.397,387.079,9.99482133609529,2.43397203521491,6.83583635422061,0.725012946659762,0
"G5 C1",14,150.1,496.018,154.06,6.86209193870753,2.39840106595603,3.3311125916056,1.06595602931379,0.0666222518321119
"G5 C1",15,252.4,1078.29,410.168,10.0633914421553,2.69413629160063,5.66561014263074,1.54516640253566,0.158478605388273
"G5 C1",16,153.3,565.32,186.429,8.48010437051533,2.60926288323549,4.5662100456621,1.30463144161774,0
"G5 C1",17,93.6,321.785,102.088,11.1111111111111,3.95299145299145,5.02136752136752,2.13675213675214,0
"G5 C1",18,31.6,180.01,85.1817,0,0,0,0,0
"G5 C1",19,288.3,1217.66,433.153,11.5157821713493,2.98300381547,7.18002081165453,1.24869927159209,0.104058272632674
"G5 C1",20,202.8,647.868,178.451,11.2919132149901,3.2051282051282,6.80473372781065,1.28205128205128,0
"G5 C1",21,31.9,142.669,53.2983,13.4796238244514,1.25391849529781,10.6583072100313,1.56739811912226,0
"G6 C1",1,0.2,1.22734,0.496067,0,0,0,0,0
"G6 C1",2,33.9,94.3326,21.6497,5.30973451327434,2.3598820058997,2.06489675516224,0.884955752212389,0
"G6 C1",3,183.5,720.523,231.061,6.4850136239782,1.19891008174387,5.06811989100818,0.217983651226158,0
"G6 C1",4,115.2,363.096,94.5208,8.07291666666667,2.77777777777778,4.6875,0.607638888888889,0
