"order","length","surfaceArea","volume","spines","thin","stubby","mushroom","filopodia"
1,0.4,1.05557,0.225774,0,0,0,0,0
2,64,176.031,39.2059,5.3125,2.03125,2.03125,1.09375,0.15625
3,10.5,39.3216,13.0744,0,0,0,0,0
4,96.2,333.109,100.374,6.34095634095634,1.24740124740125,4.15800415800416,0.727650727650728,0.207900207900208
5,45.4,167.628,54.3853,1.10132158590308,0,0.881057268722467,0.220264317180617,0
6,351.2,1064.85,285.898,2.27790432801822,0.569476082004556,1.30979498861048,0.313211845102506,0.0854214123006834
7,161.9,716.203,306.257,3.02655960469426,0.926497838171711,1.85299567634342,0.247066090179123,0
8,143.3,447.696,127.034,4.18702023726448,0.697836706210747,2.86113049546406,0.558269364968597,0.0697836706210747
9,269.5,878.05,253.59,3.8961038961039,1.03896103896104,2.07792207792208,0.779220779220779,0
10,249.1,868.879,272.94,6.26254516258531,1.88679245283019,3.89401846647933,0.44158972300281,0.0401445202729827
11,376.1,1193.81,343.64,5.45067801116724,1.22307896835948,3.00452007444828,1.09013560223345,0.13294336612603
12,209.7,666.706,185.759,3.24272770624702,1.19217930376729,1.71673819742489,0.33381020505484,0
13,200.6,643.651,185.286,5.28414755732802,0.997008973080758,3.14057826520439,1.14656031904287,0
14,150.7,492.986,156.881,8.02919708029197,2.6542800265428,4.44591904445919,0.92899800928998,0
15,144.4,608.277,220.745,1.93905817174515,0.900277008310249,0.692520775623269,0.346260387811634,0
16,453,1422.58,397.5,5.84988962472406,2.09713024282561,3.13465783664459,0.573951434878587,0.0441501103752759
17,125.2,355.665,89.5596,4.07348242811502,0.958466453674121,2.15654952076677,0.878594249201278,0.0798722044728434
18,335.3,952.677,225.101,7.87354607813898,2.11750671040859,4.41395764986579,1.19296152699075,0.149120190873844
19,141.3,345.314,75.115,8.49256900212314,2.689313517339,4.38782731776362,1.41542816702052,0
20,100.9,312.957,87.1968,6.6402378592666,1.98216055500496,3.56788899900892,1.09018830525273,0
21,45.5,162.204,52.0232,9.23076923076923,2.1978021978022,5.49450549450549,1.53846153846154,0
22,62.1,265.719,101.401,6.44122383252818,0.966183574879227,5.31400966183575,0.161030595813205,0
23,62.9,221.748,67.8595,0,0,0,0,0
24,131.5,429.036,122.225,6.00760456273764,2.28136882129278,2.66159695817491,0.988593155893536,0.0760456273764259
25,183.5,525.531,132.815,7.84741144414169,2.99727520435967,3.65122615803815,1.14441416893733,0.0544959128065395
26,34.1,118.597,36.2036,0,0,0,0,0
27,33.1,105.872,31.8096,0,0,0,0,0
28,185.5,788.825,291.521,2.74932614555256,0.862533692722372,1.29380053908356,0.592991913746631,0
29,52.9,188.599,55.2149,3.96975425330813,0.378071833648393,3.02457466918715,0.378071833648393,0.189035916824197
30,162.9,418.421,89.3247,5.40208717004297,1.59607120933088,3.06936771025169,0.675260896255371,0.0613873542050338
31,288.1,735.661,159.132,5.48420687261368,1.666088163832,2.88094411662617,0.833044081916001,0.1041305102395
32,54.2,119.951,21.6322,0,0,0,0,0
