"cell","dendriteLength","dendriteSurfaceArea","dendriteVolume","dendriteBranches","dendriteOrders","spineArea","spineVolume","totalSpines","thinSpines","stubbySpines","mushroomSpines","filopodia"
"G5 C1",4071.4,16779.1,6145.92,93,21,4.02608887728993,0.954949412263437,9.73375251756153,2.03124232450754,6.54320381195657,1.11263938694307,0.0466669941543449
"G6 C1",4297.3,12011.2,2875.13,93,20,2.24801093733282,0.40852164107757,6.08987038372932,2.4503758173737,2.67842598841133,0.930817024643381,0.0302515533009099
"G6 C2",5586.8,19255.2,5902.08,106,22,3.7780285602057,0.87310433619462,4.52495167179781,1.38540846280518,2.17834896541849,0.902126440896399,0.0590678026777404
"G7 C3",6239.9,15557.5,3496.04,169,34,2.28892619502442,0.426104385409035,10.5001682719274,3.92955015304732,5.30136700908669,1.26284075065306,0.00641035914037084
